Scientific_Name,Species_Code,Name,Call_Frequency_kHz,Call_Bandwidth_kHz,Ear_height_mm,Forearm_length_mm,Wing_loading_N/m2,Aspect_ratio,Call_Source,Ear_height_source,Forarm_length_source,Wing_loading_source,Aspect_ratio_source,Notes
Antrozous_pallidus,Anpa,pallid bat,28.8,29.5,28,48,8.1,6.1,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),"The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.","The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.",Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Corynorhinus_townsendii,Coto,townsend's big-eared bat,23.4,21.1,34.5,44,7.2,5.9,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),"The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.","The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.",Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Eptesicus_fuscus,Epfu,big brown bat,28.2,28.4,15,45.6,9.4,6.4,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),Keely et al. 2018 PLoS ONE 13(7): e200255,"Brigham, R. M. (1987). Can. J. Zool. 65, 1240Ð1242",Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Lasionycteris_noctivagans,Lano,silver-haired bat,27,14.1,9,41,8.2,6.6,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),"Cross, Starnes, V. & Rush, S. A. (2021). Southeastern Naturalist 20(3): N79-82","Cross, Starnes, V. & Rush, S. A. (2021). Southeastern Naturalist 20(3): N79-82",Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Lasiurus_blossevillii,Labl,western red bat,38.9,15.8,13,40,14,6.7,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),"The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.","The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.",Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,"Haidar (2023) MS Thesis at Cal Poly Humboldt found no morphological differences between L. frantzii (LABL) and L. borealis, thus aspect ratio and wing loading data are from L. borealis for this species"
Lasiurus_cinereus,Laci,hoary bat,21,6.9,18,51,16.5,8.1,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),Keely et al. 2018 PLoS ONE 13(7): e200255,Morningstar and Sandilands (2019) The Canadian Field Naturalist 133: 125-129,Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Myotis_californicus,Myca,california myotis,49.1,54.3,13,32,4.8,5.6,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),"The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.","The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright 1994, 2004, 2016. Courtesy of the University of Texas Press.",Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Myotis_lucifugus,Mylu,little brown bat,40.8,36.4,11,39.2,7.5,6,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),"Talerico, JM (2008). Master's Thesis University of Calgary.",Schorr and Siemers (2021) Ecology and Evolution 11:7427-7438,Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Myotis_yumanensis,Myyu,yuma myotis,49.2,44.4,12.8,34.4,7.8,6.3,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),Keely et al. 2018 PLoS ONE 13(7): e200255,Luszcz et al. (2016) Northwestern Naturalist 97: 13-23,Luo et al (2019) Scientific Reports 9: 4526,Luo et al (2019) Scientific Reports 9: 4526,
Parastrellus_hesperus,Pahe,canyon bat,45.9,15.2,11,28,6.9,5.7,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),Keely et al. 2018 PLoS ONE 13(7): e200255,"The Mammals of Texas, Seventh Edition by David J. Schmidly and Robert D. Bradley, copyright Â© 1994, 2004, 2016. Courtesy of the University of Texas Press.",Norberg & Rayner (1987) Phil Trans Roy Soc B. 316: 335-427,Norberg & Rayner (1987) Phil Trans Roy Soc B. 316: 335-427,
Tadarida_brasiliensis,Tabr,mexican free-tailed bat,26.3,9.7,15,42.2,11.56,8.12,SonoBat (Szewczak et al 2018 Call Characteristics of CA bats),Wilkins (1989) Mammalian Species 331: 1-10.,Wilkins (1989) Mammalian Species 331: 1-10.,"Iriarte-Diaz, J, FF Novoa & M Canals (2002) Acta Theriologica 47:193-200.","Iriarte-Diaz, J, FF Novoa & M Canals (2002) Acta Theriologica 47:193-200.",
