Lat,Long,site,point,cluster
34.76561249,-120.6068635,NB1A,PL1,NB1
34.76609512,-120.6048177,NB1A,PL2,NB1
34.76469778,-120.605732,NB1A,PM1,NB1
34.7633845,-120.606338,NB1A,PR1,NB1
34.76383553,-120.6045224,NB1A,PR2,NB1
34.76952366,-120.5967325,NB1B,PL1,NB1
34.76808968,-120.595332,NB1B,PL2,NB1
34.76834407,-120.5972583,NB1B,PM1,NB1
34.76831574,-120.599018,NB1B,PR1,NB1
34.76706583,-120.5978089,NB1B,PR2,NB1
34.7642128,-120.591206,NB1C,PL1,NB1
34.76258847,-120.5902155,NB1C,PL2,NB1
34.763112,-120.5920682,NB1C,PM1,NB1
34.76338894,-120.5937643,NB1C,PR1,NB1
34.76191205,-120.5929333,NB1C,PR2,NB1
34.77050241,-120.5395349,NB2A,PL1,NB2
34.76872385,-120.5398568,NB2A,PL2,NB2
34.76999908,-120.5410091,NB2A,PM1,NB2
34.77105813,-120.5421799,NB2A,PR1,NB2
34.76946507,-120.5424897,NB2A,PR2,NB2
34.76263926,-120.561539,NB2B,PL1,NB2
34.76304797,-120.5594405,NB2B,PL2,NB2
34.7617248,-120.5604408,NB2B,PM1,NB2
34.76041395,-120.5611567,NB2B,PR1,NB2
34.76088946,-120.558794,NB2B,PR2,NB2
34.76550722,-120.5670041,NB2C,PL1,NB2
34.76717169,-120.5677417,NB2C,PL2,NB2
34.76656979,-120.5660443,NB2C,PM1,NB2
34.76608506,-120.5643435,NB2C,PR1,NB2
34.76758559,-120.5649985,NB2C,PR2,NB2
34.7689733,-120.5789046,NB3A,PL1,NB3
34.76731025,-120.5780665,NB3A,PL2,NB3
34.76791534,-120.5798579,NB3A,PM1,NB3
34.76832965,-120.5815509,NB3A,PR1,NB3
34.76685058,-120.5807963,NB3A,PR2,NB3
34.78097334,-120.5614255,NB3B,PL1,NB3
34.77985594,-120.5632502,NB3B,PL2,NB3
34.78149067,-120.5629508,NB3B,PM1,NB3
34.78293051,-120.562821,NB3B,PR1,NB3
34.7820054,-120.5643451,NB3B,PR2,NB3
34.78217438,-120.5516548,NB3C,PL1,NB3
34.78211939,-120.5538526,NB3C,PL2,NB3
34.78331926,-120.5525496,NB3C,PM1,NB3
34.78442366,-120.5514352,NB3C,PR1,NB3
34.78437228,-120.5533599,NB3C,PR2,NB3
34.78651059,-120.5189412,NB4A,PL1,NB4
34.7852554,-120.5173108,NB4A,PL2,NB4
34.78524559,-120.519246,NB4A,PM1,NB4
34.78503462,-120.5209773,NB4A,PR1,NB4
34.78394271,-120.5195753,NB4A,PR2,NB4
34.79155297,-120.5148235,NB4B,PL1,NB4
34.78973192,-120.5154013,NB4B,PL2,NB4
34.79128442,-120.5163923,NB4B,PM1,NB4
