,cluster,site,treatment,point,AVG.HT,richness,prop_canopy_layer,prop_grass_layer,prop_ground_layer,prop_duff,prop_bare,prop_woodyshrub,prop_softshrub,prop_forbe,prop_grass,prop_nonplant,prop_iceplant,prop_Artemisia_californica,prop_Baccharis_pilularis,prop_Carpobrotus_edulis,prop_Ehrharta_calycina,prop_Ericameria_ericoides,prop_Salvia_mellifera,prop_Acmispon_glaber
1,1,1A,P,PL1,46.55445545,15,0.647058824,0.009803922,0.343137255,0.18627451,0.029411765,0.715686275,0,0.019607843,0.039215686,0.18627451,0,0.196078431,0.068627451,0,0.009803922,0.029411765,0.215686275,0
2,1,1A,P,PL2,53.56435644,14,0.411764706,0.480392157,0.107843137,0.019607843,0.029411765,0.401960784,0.039215686,0.019607843,0.480392157,0.019607843,0,0.078431373,0.078431373,0,0.480392157,0.019607843,0,0.029411765
3,1,1A,P,PM1,54.87128713,19,0.68627451,0.117647059,0.196078431,0.068627451,0.029411765,0.656862745,0.049019608,0.019607843,0.147058824,0.078431373,0,0.107843137,0.117647059,0,0.098039216,0.078431373,0.117647059,0.029411765
4,1,1A,P,PR1,53.52475248,13,0.235294118,0.676470588,0.088235294,0.009803922,0.029411765,0.18627451,0.049019608,0.029411765,0.68627451,0.009803922,0,0.029411765,0.088235294,0,0.62745098,0.029411765,0,0.049019608
5,1,1A,P,PR2,32.1,11,0.225490196,0.617647059,0.156862745,0.049019608,0.039215686,0.205882353,0.019607843,0,0.666666667,0.049019608,0,0.009803922,0.068627451,0,0.235294118,0.029411765,0,0.019607843
6,1,1B,C,PL1,37.37623762,9,0.411764706,0.37254902,0.215686275,0.009803922,0,0.37254902,0.088235294,0,0.519607843,0.009803922,0,0,0.147058824,0,0.254901961,0.019607843,0,0.088235294
7,1,1B,C,PL2,79.8019802,14,0.843137255,0.058823529,0.098039216,0.068627451,0.009803922,0.784313725,0.058823529,0.009803922,0.058823529,0.068627451,0,0.205882353,0.147058824,0,0.058823529,0.009803922,0,0.049019608
8,1,1B,C,PM1,65.36633663,10,0.68627451,0.284313725,0.029411765,0,0.019607843,0.647058824,0.039215686,0,0.284313725,0,0,0.12745098,0.303921569,0,0.284313725,0.029411765,0,0.039215686
9,1,1B,C,PR1,53.1980198,9,0.362745098,0.617647059,0.019607843,0,0,0.147058824,0.196078431,0.019607843,0.62745098,0,0,0,0.078431373,0,0.617647059,0.009803922,0,0.196078431
10,1,1B,C,PR2,40.52,10,0.303921569,0.637254902,0.058823529,0.019607843,0,0.235294118,0.068627451,0,0.656862745,0.019607843,0,0.058823529,0.068627451,0,0.37254902,0.049019608,0,0.058823529
11,1,1C,S,PL1,44.10891089,14,0.519607843,0.235294118,0.245098039,0.009803922,0.019607843,0.490196078,0.039215686,0.029411765,0.392156863,0.019607843,0.019607843,0.078431373,0.147058824,0.019607843,0.18627451,0,0.019607843,0.039215686
12,1,1C,S,PL2,54.96039604,9,0.490196078,0.411764706,0.098039216,0,0,0.421568627,0.068627451,0.009803922,0.490196078,0,0,0.088235294,0.147058824,0,0.382352941,0,0,0.068627451
13,1,1C,S,PM1,59.83663366,10,0.441176471,0.529411765,0.029411765,0,0.009803922,0.421568627,0.019607843,0,0.539215686,0,0,0.098039216,0.156862745,0,0.529411765,0.049019608,0,0.019607843
14,1,1C,S,PR1,37.2970297,13,0.323529412,0.460784314,0.215686275,0.009803922,0,0.274509804,0.039215686,0.029411765,0.637254902,0.009803922,0,0.019607843,0.049019608,0,0.421568627,0.019607843,0,0.039215686
15,1,1C,S,PR2,71.82178218,8,0.156862745,0.794117647,0.049019608,0.019607843,0,0.156862745,0,0,0.81372549,0.019607843,0,0.009803922,0.019607843,0,0.784313725,0.029411765,0,0
16,2,2A,P,PL1,36.35643564,8,0.490196078,0,0.509803922,0.098039216,0.019607843,0.480392157,0.029411765,0.362745098,0,0.098039216,0.362745098,0,0.078431373,0.362745098,0,0.343137255,0,0.029411765
17,2,2A,P,PL2,21.5049505,12,0.235294118,0.068627451,0.696078431,0.029411765,0,0.215686275,0.009803922,0.637254902,0.098039216,0.029411765,0.607843137,0,0.019607843,0.607843137,0.078431373,0.137254902,0,0.009803922
18,2,2A,P,PM1,25,9,0.068627451,0.245098039,0.68627451,0.12745098,0.039215686,0.098039216,0,0.460784314,0.264705882,0.12745098,0.460784314,0,0,0.460784314,0.235294118,0.088235294,0,0
19,2,2A,P,PR1,31.01980198,11,0.37254902,0.176470588,0.450980392,0.147058824,0.068627451,0.323529412,0.058823529,0.098039216,0.284313725,0.156862745,0.098039216,0,0,0.098039216,0.009803922,0.18627451,0,0.058823529
20,2,2A,P,PR2,25.63366337,10,0.166666667,0.362745098,0.470588235,0.049019608,0.019607843,0.176470588,0,0.147058824,0.588235294,0.058823529,0.147058824,0,0.019607843,0.147058824,0.019607843,0.088235294,0,0
21,2,2B,S,PL1,54.97029703,18,0.715686275,0.049019608,0.235294118,0.058823529,0.029411765,0.696078431,0.029411765,0.107843137,0.058823529,0.068627451,0.078431373,0.166666667,0.029411765,0.078431373,0.049019608,0.205882353,0.009803922,0.019607843
22,2,2B,S,PL2,45.02970297,10,0.705882353,0.009803922,0.284313725,0.068627451,0.029411765,0.647058824,0.117647059,0.117647059,0.009803922,0.078431373,0.117647059,0.284313725,0,0.117647059,0.009803922,0.264705882,0,0.117647059
23,2,2B,S,PM1,50.07920792,12,0.68627451,0,0.31372549,0.088235294,0.058823529,0.725490196,0.039215686,0.078431373,0,0.088235294,0.058823529,0.323529412,0.058823529,0.058823529,0,0.196078431,0,0.039215686
24,2,2B,S,PR1,73.43564356,10,0.852941176,0,0.147058824,0.088235294,0.029411765,0.852941176,0.019607843,0,0,0.088235294,0,0.235294118,0.058823529,0,0,0.235294118,0,0.019607843
25,2,2B,S,PR2,23.32673267,13,0.362745098,0.117647059,0.519607843,0.039215686,0.117647059,0.284313725,0.215686275,0.078431373,0.254901961,0.039215686,0.058823529,0.019607843,0,0.058823529,0.098039216,0.156862745,0,0.215686275
26,2,2C,C,PL1,41.3960396,13,0.617647059,0.107843137,0.274509804,0.058823529,0.039215686,0.539215686,0.147058824,0.039215686,0.166666667,0.058823529,0.029411765,0.098039216,0.019607843,0.029411765,0.107843137,0.137254902,0,0.147058824
27,2,2C,C,PL2,58.53465347,11,0.803921569,0,0.196078431,0.019607843,0.029411765,0.666666667,0.166666667,0.107843137,0,0.019607843,0.098039216,0.088235294,0.049019608,0.098039216,0,0.225490196,0,0.166666667
28,2,2C,C,PM1,47.08910891,11,0.470588235,0.333333333,0.196078431,0.019607843,0.049019608,0.480392157,0.019607843,0.068627451,0.352941176,0.019607843,0.068627451,0.019607843,0.009803922,0.068627451,0.352941176,0.215686275,0,0.019607843
29,2,2C,C,PR1,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,2C,C,PR2,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,3A,C,PL1,45.51485149,9,0.460784314,0.333333333,0.205882353,0.049019608,0.009803922,0.470588235,0,0,0.460784314,0.049019608,0,0.019607843,0.294117647,0,0.362745098,0.019607843,0,0
32,3,3A,C,PL2,68.81188119,11,0.588235294,0.401960784,0.009803922,0,0,0.519607843,0.058823529,0.009803922,0.401960784,0,0,0,0.166666667,0,0.401960784,0.009803922,0.098039216,0.058823529
33,3,3A,C,PM1,65.53465347,9,0.441176471,0.549019608,0.009803922,0,0,0.421568627,0,0.009803922,0.549019608,0,0,0.039215686,0.303921569,0,0.549019608,0.049019608,0,0
34,3,3A,C,PR1,35.69306931,13,0.274509804,0.450980392,0.274509804,0.029411765,0,0.274509804,0.009803922,0.019607843,0.656862745,0.029411765,0,0.019607843,0.12745098,0,0.37254902,0.058823529,0,0.009803922
