Frequency (Hz)	Level (dB)
20	-69
86.132812	-31
172.265625	-32.799574
258.398438	-33.553097
344.531250	-34.793968
430.664062	-32.917789
516.796875	-32.645100
602.929688	-33.707142
689.062500	-34.202408
775.195312	-35.718750
861.328125	-38.001549
947.460938	-39.719040
1033.593750	-40.982437
1119.726562	-42.975590
1205.859375	-45.555180
1291.992188	-47.564297
1378.125000	-48.808834
1464.257812	-49.751606
1550.390625	-50.778606
1636.523438	-51.402626
1722.656250	-51.797024
1808.789062	-52.647953
1894.921875	-53.429359
1981.054688	-53.761673
2067.187500	-54.359871
2153.320312	-55.213455
2239.453125	-56.232410
2325.585938	-58.370407
2411.718750	-59.691246
2497.851562	-60.138302
2583.984375	-60.728775
2670.117188	-61.754532
2756.250000	-62.836674
2842.382812	-64.267464
2928.515625	-65.461090
3014.648438	-66.614288
3100.781250	-67.756241
3186.914062	-68.913734
3273.046875	-69
