Frequency (Hz)	Level (dB)
20	-68
86.132812	-30
172.265625	-31.747097
258.398438	-40.467331
344.531250	-42.912159
430.664062	-41.453388
516.796875	-39.664253
602.929688	-37.524639
689.062500	-39.517384
775.195312	-42.336155
861.328125	-45.323566
947.460938	-46.946617
1033.593750	-46.365112
1119.726562	-45.943172
1205.859375	-46.439739
1291.992188	-48.238270
1378.125000	-50.409515
1464.257812	-51.105232
1550.390625	-49.405891
1636.523438	-48.959164
1722.656250	-50.468082
1808.789062	-50.867085
1894.921875	-50.022163
1981.054688	-49.883938
2067.187500	-49.652599
2153.320312	-48.091183
2239.453125	-47.659714
2325.585938	-48.060856
2411.718750	-49.558228
2497.851562	-51.997929
2583.984375	-53.683273
2670.117188	-53.432148
2756.250000	-52.700336
2842.382812	-51.810665
2928.515625	-50.018902
3014.648438	-49.167679
3100.781250	-48.652489
3186.914062	-48.351402
3273.046875	-48.794292
3359.179688	-49.987190
3445.312500	-51.340534
3531.445312	-52.588963
3617.578125	-52.426350
3703.710938	-52.249359
3789.843750	-52.894913
3875.976562	-53.710712
3962.109375	-55.304390
4048.242188	-56.749611
4134.375000	-57.694679
4220.507812	-58.817738
4306.640625	-59.089706
4392.773438	-59.437027
4478.906250	-60.110207
4565.039062	-60.113430
4651.171875	-60.572437
4737.304688	-61.247959
4823.437500	-61.420242
4909.570312	-60.995140
4995.703125	-60.903084
5081.835938	-61.428558
5167.968750	-61.977875
5254.101562	-62.336605
5340.234375	-62.565125
5426.367188	-62.876564
5512.500000	-63.420887
5598.632812	-64.301186
5684.765625	-65.496155
5770.898438	-66.435509
5857.031250	-66.573814
5943.164062	-66.147667
6029.296875	-66.109879
6115.429688	-66.239235
6201.562500	-66.402390
6287.695312	-66.731804
6373.828125	-67.155579
6459.960938	-67.645050
6546.093750	-68
