Frequency (Hz)	Level (dB)

1636.523438	-67
1722.656250	-56.176411
1808.789062	-44.768330
1894.921875	-36.821449
1981.054688	-32.076221
2067.187500	-29.935398
2153.320312	-29
2239.453125	-30.272480
2325.585938	-30.443600
2411.718750	-30.233849
2497.851562	-32.021534
2583.984375	-34.399010
2670.117188	-35.394917
2756.250000	-36.899902
2842.382812	-39.444454
2928.515625	-41.754726
3014.648438	-40.182007
3100.781250	-40.126053
3186.914062	-40.148777
3273.046875	-38.451782
3359.179688	-38.110046
3445.312500	-38.230545
3531.445312	-38.902061
3617.578125	-39.519680
3703.710938	-39.177452
3789.843750	-39.668266
3875.976562	-39.659443
3962.109375	-39.095989
4048.242188	-38.972965
4134.375000	-37.137905
4220.507812	-36.983727
4306.640625	-39.076782
4392.773438	-42.446751
4478.906250	-43.282314
4565.039062	-39.886078
4651.171875	-37.786259
4737.304688	-38.130768
4823.437500	-39.290302
4909.570312	-41.661598
4995.703125	-41.579929
5081.835938	-39.299847
5167.968750	-39.048409
5254.101562	-38.752087
5340.234375	-38.991909
5426.367188	-39.973862
5512.500000	-40.491245
5598.632812	-42.412247
5684.765625	-42.276005
5770.898438	-39.662178
5857.031250	-37.649086
5943.164062	-38.257591
6029.296875	-37.423653
6115.429688	-36.420078
6201.562500	-37.382484
6287.695312	-37.367092
6373.828125	-38.076244
6459.960938	-38.783249
6546.093750	-38.091507
6632.226562	-38.121452
6718.359375	-38.552040
6804.492188	-38.098637
6890.625000	-39.266041
6976.757812	-39.091877
7062.890625	-39.519741
7149.023438	-41.113441
7235.156250	-41.616375
7321.289062	-43.051067
7407.421875	-42.272007
7493.554688	-42.967953
7579.687500	-43.701328
7665.820312	-44.133625
7751.953125	-43.788971
7838.085938	-43.529583
7924.218750	-43.410355
8010.351562	-42.579250
8096.484375	-44.576038
8182.617188	-46.757385
8268.750000	-46.970276
8354.882812	-44.101498
8441.015625	-43.031990
8527.148438	-45.018032
8613.281250	-44.459209
8699.414062	-44.074665
8785.546875	-43.661942
8871.679688	-43.336987
8957.812500	-44.823650
9043.945312	-45.357677
9130.078125	-45.666405
9216.210938	-46.350948
9302.343750	-45.117344
9388.476562	-46.121632
9474.609375	-46.491951
9560.742188	-46.043613
9646.875000	-44.898933
9733.007812	-44.320972
9819.140625	-44.365936
9905.273438	-44.815010
9991.406250	-45.568527
10077.539062	-46.811024
10163.671875	-47.709030
10249.804688	-48.593079
10335.937500	-48.395775
10422.070312	-48.375446
10508.203125	-48.040993
10594.335938	-46.682022
10680.468750	-46.008049
10766.601562	-46.251984
10852.734375	-46.157269
10938.867188	-46.886833
11025.000000	-47.479740
11111.132812	-47.223644
11197.265625	-47.361553
11283.398438	-48.254051
11369.531250	-49.379982
11455.664062	-50.046558
11541.796875	-50.532990
11627.929688	-50.392761
11714.062500	-50.765141
11800.195312	-51.967239
11886.328125	-52.739090
11972.460938	-54.069706
12058.593750	-56.055317
12144.726562	-57.399380
12230.859375	-57.898552
12316.992188	-57.933548
12403.125000	-59.265079
12489.257812	-62.253250
12575.390625	-66.200478
12661.523438	-67


